item_name,item_id
Team Fortress Classic,20
Day of Defeat,30
Deathmatch Classic,40
Ricochet,60
Psychonauts,3830
Call of Duty 2,2630
Joint Task Force,6400
BioShock,7670
BioShock Remastered,409710
Portal,400
Overlord,11450
Audiosurf,12900
Unreal Gold,13250
Crysis Warhead,17330
Crysis Wars,17340
World of Goo,22000
Left 4 Dead,500
Company of Heroes,4560
Mass Effect,17460
Zeno Clash,22200
Braid,26800
Killing Floor,1250
Freedom Force,8880
Droplitz,23120
Trine,35700
3D Ultra Minigolf Adventures Deluxe,10140
Osmos,29180
Darkest of Days,37700
Battlefield 2,24860
Left 4 Dead 2,550
Left 4 Dead 2 Beta,223530
Borderlands,8980
Torchlight,41500
Zombie Driver,31410
Mass Effect 2,24980
BioShock 2,8850
BioShock 2 Remastered,409720
Bob Came in Pieces,46000
Shatter,20820
Metro 2033,43110
Just Cause 2,8190
Beat Hazard,49600
Arma 2,33910
Dota 2 Test,205790
Mafia II,50130
Chime,62100
Poker Night at the Inventory,31280
DeathSpank,18040
Flight Control HD,62000
Super Meat Boy,40800
Gish,9500
And Yet It Moves,18700
Puzzle Agent,31270
Jolly Rover,58200
Altitude,41300
Gratuitous Space Battles,41800
DogFighter,42500
Plain Sight,49900
Flotilla,55000
Monday Night Combat,63200
Bulletstorm,99810
Portal 2,620
Magicka,42910
The Wonderful End of the World,15500
Cogs,26500
The Ball,35460
Toki Tori,38700
RUSH,38720
Terraria,105600
Frozen Synapse,98200
Titan Quest,4540
Saints Row 2,9480
Darksiders,50620
Homefront,55100
Titan Quest Anniversary Edition,475150
Defy Gravity,96100
Bastion,107100
Tropico 4,57690
Dead Island,91310
The Binding of Isaac,113200
Dungeon Defenders,65800
RAGE,9200
Greed Corp,48950
SpaceChem,92800
Super Monday Night Combat,104700
Crusader Kings II,203770
Dear Esther,203810
The Walking Dead,207610
Toy Soldiers,98300
Awesomenauts,204300
Arx Fatalis,1700
Dishonored,205100
The Political Machine,211120
Borderlands 2,49520
Torchlight II,200710
Hotline Miami,219150
BioShock Infinite,8870
Scribblenauts Unlimited,218680
Star Conflict,212070
PlanetSide 2,218230
War Thunder,236390
Peggle Extreme,3483
Tomb Raider,203160
Prison Architect,233450
Reus,222730
Rogue Legacy,241600
Rise of the Triad,217140
FINAL FANTASY VII,39140
Risk of Rain,248820
Spelunky,239350
PAYDAY 2,218620
Saints Row IV,206420
Europa Universalis IV,236850
The Wolf Among Us,250320
Call of Juarez Gunslinger,204450
Long Live The Queen,251990
Enclave,253980
Democracy 3,245470
The Stanley Parable,221910
Contagion,238430
Ori and the Blind Forest,261570
Out There Somewhere,263980
FINAL FANTASY VIII,39150
Broken Age,232790
The Banner Saga,237990
Freespace 2,273620
Insurgency,222880
PARTICLE MACE,295690
BattleBlock Theater,238460
Transistor,237930
GEARCRACK Arena,301480
Dead Bits,303390
Grim Fandango Remastered,316790
Squishy the Suicidal Pig,318430
This War of Mine,282070
Dirty Bomb,333930
Armikrog,334120
The Talos Principle,257510
Besiege,346010
Killing Floor 2,232090
Fallout 4,377160
Undertale,391540
Company of Heroes 2,231430
Endless Legend,289130
XCOM 2,268500
Sins Of The Demon RPG,461640
DOOM,379720
Evolve Stage 2,273350
Just Cause,6880
Quake III Arena,2200
Wolfenstein 3D,2270
The Ultimate DOOM,2280
Final DOOM,2290
Quake,2310
Quake II,2320
Return to Castle Wolfenstein,9010
DOOM 3,9050
HeXen II,9060
Master Levels for DOOM II,9160
Commander Keen Complete Pack,9180
Alpha Prime,2590
RACE 07,8600
GTR Evolution,8660
Children of the Nile,17100
Dead Space,17470
The Path,27000
Puzzle Kingdoms,23700
ItzaBitza,40200
ItzaZoo,40210
Coniclysm,39900
Avencast,46410
Ship Simulator Extremes,48800
Hacker Evolution,70100
Hacker Evolution Duality,70120
Blade Kitten,9940
ProtoGalaxy,60600
The Fish Fillets 2,33950
Grand Theft Auto IV,12210
Chaser,39670
Universe Sandbox,72200
Post Apocalyptic Mayhem,91900
Sanctum,91600
BEEP,104200
Worms Reloaded,22600
DETOUR,92100
Naval Warfare,98500
Jamestown,94200
Aztaka,37100
Solar 2,97000
Painkiller Overdose,3270
7 Wonders II,15900
Luxor 2,15920
Luxor 3,15930
The Office,15940
Reaxxion,15950
Little Farm,15960
Luxor,15970
Money Tree,15980
Samantha Swift and the Hidden Roses of Athena,16020
Samantha Swift and the Golden Touch,16060
Luxor Mahjong,32110
Dungeons of Dredmor,98800
Rock of Ages,22230
Lucid,61100
Space Pirates and Zombies,107200
Blocks That Matter,111800
Nuclear Dawn,17710
HOARD,63000
Shank 2,102840
Costume Quest,115100
Gemini Rue,80310
Take On Helicopters,65730
Sonic Generations,71340
Anno 2070,48240
Dangerous Waters,1600
LIMBO,48000
Stacking,115110
Legend of Grimrock,207170
A Virus Named TOM,207650
Ticket to Ride,108200
Lunar Flight,208600
Roller Coaster Rampage,209610
Burn Zombie Burn,50510
Botanicula,207690
Pole Position 2012,210150
Port Royale 3,205610
Mortal Kombat Kollection,205350
Gratuitous Tank Battles,205530
Hard Reset,98400
Waveform,204180
Crysis 2 Maximum Edition,108800
Arena Wars 2,207730
Max Payne 3,204100
Splice,209790
LEGO Batman 2,213330
Tower Wars,214360
Tower Wars Editor,234740
Death Rally,108700
Snapshot,204220
The Basement Collection,214790
Closure,72000
Lucius,218640
Strike Suit Zero,209540
Mark of the Ninja,214560
To the Moon,206440
Thomas Was Alone,220780
Castle Crashers,204360
Little Inferno,221260
Dream Pinball 3D,215790
McPixel,220860
World of Zoo,43100
Dogfight 1942,217790
Natural Selection 2,4920
Pid ,218740
Faerie Solitaire,38600
Iron Sky Invasion,224900
POSTAL 2,223470
AirBuccaneers,223630
Stealth Bastard Deluxe,209190
Super Hexagon,221640
Sniper Ghost Warrior 2,34870
Afterfall InSanity Extended Edition,224420
Monopoly,221300
Triple Town,209950
Crazy Taxi,71230
SEGA Bass Fishing,71240
Sonic Adventure DX,71250
Dead Pixels,222980
Trine 2,35720
Hero Academy,209270
The Game of Life,224700
Euro Truck Simulator 2,227300
The Showdown Effect,204080
Antichamber,219890
3DMark,223850
Thinking with Time Machine,286080
DisplayFusion,227260
Bridge Project,232950
Incredipede,230150
Cities in Motion 2,225420
Rush Bros,234490
Anodyne,234900
Surgeon Simulator,233720
Poker Night 2,234710
Jack Lumber,220900
Sanctum 2,210770
Monaco,113020
Fallout 3,22300
Super Sanctum TD,235250
FEZ,224760
Shadowrun Returns,234650
Anomaly 2,236730
Zeno Clash 2,215690
The Whispered World,18490
The Whispered World Special Edition,268540
The Swapper,231160
The Forest,242760
Banished,242920
Betrayer,243120
Skulls of the Shogun,228960
The Apogee Throwback Pack,238050
Super Splatters,95000
StarMade,244770
Space Engineers,244850
Sacred 2 Gold,225640
Kingdom Rush,246420
Risen,40300
Sacred Citadel,207930
Viscera Cleanup Detail,246900
Inquisitor,241620
Epigenesis,244590
Iesabel,248710
Game Dev Tycoon,239820
Jazzpunk,250260
Bridge Constructor,250460
Eets Munchies,214550
Anomaly Korea,251530
Oniken,252010
Anomaly Warzone Earth Mobile Campaign,252170
Syder Arcade,252310
The Shivah,252370
Rust,252490
Claire,252830
Skyscraper Simulator,252910
Steam Marines,253630
Sparkle 2 Evo,253650
Earth 2150 Trilogy,253880
BookWorm Deluxe,3370
Peggle Deluxe,3480
Escape Rosecliff Island,3600
Bejeweled 3,78000
Peggle Nights,3540
State of Decay,241540
Arma Tactics,224860
Confrontation,204560
Game of Thrones ,208730
Cities XL Platinum,231140
The Testament of Sherlock Holmes,205650
Dark Sector,29900
SkyDrift,91100
Sine Mora,207040
Tropico 5,245620
Portal 2 Sixense Perceptual Pack,247120
Thief,239160
Shadow Warrior,233130
Supreme Commander,9350
The Guild II,39650
ArcaniA,39690
Darksiders II,50650
Violett,257830
Dungeonbowl Knockout Edition,209390
Bad Hotel,231720
Audiosurf 2,235800
Clickr,45500
Professional Farmer 2014,258880
Nimble Quest,259780
Symphony,207750
Call of Juarez,3020
Grimm,252150
Crimsonland,262830
Pixel Boy and the Ever Expanding Dungeon,263080
Spintires,263280
Spintires Editor,367690
Enola,263520
Muffin Knight,263700
Pixel Piracy,264140
99 Levels To Hell,264280
Neighbours from Hell,260750
Neighbours from Hell 2,260770
Deadly 30,264730
Goat Simulator,265930
